9f1d  23ad
ef72  e4a8
53b7  cbb1
14e4  b4a0
123c  5435
e818  2f1b
94bb  85be
f308  19ff
46bd  c022
111d  e919
cdad  5b21
2270  ffb7
d02e  aa09
4d16  e860
c5b6  13c3
57cb  2e08
6147  659f
58f9  8698
d37c  b9b5
edcd  bb2a
f11e  33f3
4ef8  4a47
6075  a8ca
7156  6d9f
ff78  8ae8
932f  b3f9
39dd  ec16
2795  1e93
d5a6  297d
6c29  a0bb
1993  19ec
cb85  9a13
8c8e  228d
e3de  93da
3823  6c90
2cd6  93f0
daf8  4b8f
6f05  8f56
6784  fc46
a126  83e9
78d5  afd4
43a7  c593
29b6  1fca
8bea  f226
d892  affe
87fa  fab0
8e67  3bc1
8dd3  89fc
4e89  4b4d
23a9  cb4a
1690  a1be
81eb  35f5
7a3e  ab0a
2c02  fb78
5eff  d249
3489  2b90
d036  b757
40e6  d7ef
19ba  feec
c737  689b
7719  72bb
2c7d  3b7b
79e8  5b08
526c  c27d
d3d9  fe97
3b05  9f89
f735  2c54
c1d7  e93a
2ce2  e2be
3ef3  6075
f6d2  cf28
8534  41a0
2c0a  fc5f
778e  9442
90b8  6265
e2b3  508f
bf5f  3101
3f2c  e00e
fd42  1ba7
116c  e935
3d84  a05d
1b50  f8e1
3d87  ecbd
b3ec  c93f
15c2  2de2
1c4f  7530
2d9d  df8f
1cef  75d0
6c88  ec4b
a0b4  385d
cc7c  99f8
a4b1  f3fe
597c  135e
7249  729f
8509  d10e
db85  7cc1
31c9  a395
5e62  8c4d
1011  b461
14b7  e8fd
bd9d  fd01
ea8b  a727
2633  3cc4
79f8  b108
c1d3  ed1f
d542  65ce
507d  8c89
410c  8577
f91a  f7a6
c98d  b526
36c4  9fc0
e5d0  a9e8
d4ea  21d0
bff5  3a14
e085  af13
3300  fec6
4e7b  447f
1367  ccb2
eb3a  70a3
eacf  ee2a
8cf6  c860
2978  3f57
1e28  a611
de37  e3b6
f3e7  c3da
e19f  edd7
d8b3  667e
8e83  8431
b04d  daea
2588  d3c8
35a3  678e
643e  a944
e74a  20b4
8564  3a40
702b  a207
ceda  a83a
2f66  1707
9a01  a3a1
866e  f8a0
f7a3  1236
fd54  3d12
aec2  8935
a0ce  1923
b5bf  d142
4955  f1e6
6574  a974
2f3e  825b
9b71  90e5
c129  adf7
8101  69e9
87f8  f6bc
1914  9d2c
4d3d  f98a
56d1  e7b4
9ca1  722e
f810  82db
2186  d39a
890d  116c
7f56  60ee
80ee  3316
210b  8373
bc88  4c1b
2f0f  dc5f
b700  55c3
79e6  5e68
a497  8a9d
8c39  77c9
bca7  ca02
9a8a  abf9
50f0  ffaf
da23  e151
e6aa  7252
7c88  b34b
628f  be43
605d  688a
32d3  b075
bc42  8238
7731  b0b4
db14  7689
b14e  1df3
5457  e9d2
f5f4  36d8
e0c8  ec2f
d80f  3b88
f48a  4530
55d1  d70e
6c50  71db
e6ac  52ab
4596  83d2
103f  f701
a808  154e
3ff6  6b20
9e97  e0dd
5a85  43e3
3401  b5c9
f399  29df
92a6  57bd
24a1  d73c
2ea8  6d49
3dc8  be09
6293  9a47
6645  7454
32fe  7ce4
1067  3b51
c703  e64b
f6a6  c662
71de  a34a
b41e  3a82
12d5  2b94
6902  b607
553f  8e0c
8c6a  fdd0
518c  8745
364e  7280
b1c6  89da
98b1  201e
728f  b243
fc65  f3f4
804f  3767
8669  f6ac
1f35  6620
d1d8  db47
a41b  34ce
67f7  5ab4
6b52  74a7
b6b5  fed2
1606  741d
1755  b5d9
beb0  f487
9271  fcc7
abbd  c659
b917  c5a6
6981  91eb
52a1  3291
90ac  6c21
1e38  a635
1f20  24ae
26ab  f208
9133  8387
70ac  6fc7
a703  401e
e552  292b
9a74  9163
5b4d  cf89
93d9  b2d1
6670  9a58
3c4a  7790
8281  2fb1
8d61  31fc
d43c  e97c
d70d  b99d
cc79  9938
4507  8362
282b  80b8
83ae  c9d1
45a5  32d0
2def  6a8e
f6fd  ff64
6622  9c7b
53fc  f77d
5524  6522
afd1  418c
8720  2a5e
4a10  3d0b
c617  1b94
a4fb  36ce
dc6c  517c
b896  1402
d353  5999
eb1b  5263
c2a7  5a33
d86f  4c7b
993f  ea36
4428  8e50
d969  ce5b
e8ed  6ff4
b8b2  c5fb
f360  f1c8
a2f0  f4b5
c136  e1ca
dbb6  565d
8781  67cc
db54  9609
c08e  aa23
c1e7  65df
fdf6  def4
d529  ad5e
6742  5678
2453  8378
a4b9  1a80
890f  155e
6852  55fb
52a2  cf95
5db4  bd12
9a48  6e25
e567  ef54
3521  68c2
4800  5553
fd3f  fe6a
db9e  9489
cd79  996f
6dcf  e284
c391  b533
76ac  5fcb
3ada  ad26
2735  ffbb
708e  af83
435f  c443
a516  d7ad
11f8  dbf5
b276  185f
e243  500f
f9e2  c7df
5828  4f70
f68d  14e2
f6af  c6e2
84b0  91fe
e8eb  22f8
a476  f3e5
8b55  faf9
6969  768f
dd97  e28d
2a0f  dc0a
29d1  b7e2
6f07  df56
f1ef  4ed7
c892  b46b
69ec  5908
a560  1bd2
4383  c147
ba8d  8523
5d4c  3b5d
4b98  1487
7734  9074
a907  190c
1c2e  268d
19ce  2f86
7914  7706
62f1  94bf
50d4  d209
81ee  3fd6
c683  b82b
3eaf  60bd
eea3  6217
3baa  7249
d36d  5c76
1eb8  e811
ff03  80ab
af86  8d4d
67e5  78b4
d436  a170
42c7  34ba
b46d  d5f4
6d77  bdcf
a81d  c1ce
a084  4529
db27  ba59
f940  ceeb
1e02  a831
de5f  e679
7d1f  5501
4949  fd88
261c  1f58
d442  659e
d924  9d0c
f3ac  17d3
e568  e128
ef78  aaa8
4d11  3d7b
f48c  d7d6
6b9b  98c7
6f26  dc56
ba68  d82f
6bdd  b68a
51b7  dbb1
ac82  141e
2270  ffb7
ad6c  3dcd
4644  f04c
eaca  ae1a
ef1d  6f52
5622  cf00
8477  bde1
c173  6d87
9435  3ec3
4ed7  869a
282d  3b08
47ff  ca04
bbd1  263f
cc72  59fb
ac39  225c
a28f  353d
1aae  59a2
6b8c  bac7
2c58  1b78
c7d9  58e6
7f93  e0ab
4ff4  1946
831b  f1f1
4b4a  fecc
d1c4  a786
cbc7  bafa
9623  3748
f354  fdd3
c597  e362
bae9  39e8
d69f  b44d
935e  7b39
535f  cd4a
80a6  d819
4fa2  d8ab
6ae8  e15f
319a  aed9
689f  3346
20ef  6084
3805  978e
2ea2  6d9d
d8b6  c308
b0d0  44ff
284f  4cbb
cb07  b8a3
5632  cf8e
d174  ad06
d012  6655
292e  fe04
17c9  2d0c
1f91  d62e
19b3  7962
298b  f786
fde3  db38
bb2e  2a63
b65e  f8c2
5ece  4c79
6b7d  b88a
2836  d07b
2bf5  7dd4
8b85  2f49
7638  bc08
1b71  6851
8cea  f660
d46a  2930
d17c  e9b5
7e83  e247
2dab  f72d
22f2  cf47
ea52  6917
1e89  66f1
ad6a  3140
8a2a  4d29
5930  23cf
d2f8  5a4d
a033  8885
99d1  9715
46c2  ff7e
42da  28ba
b235  a45a
a2ee  fae6
c022  eba7
58fa  86d4
e6af  52c0
7021  e253
46c7  3454
c8a7  5212
5610  ff50
f33c  1b3f
8522  2ae0
bf95  4102
346a  79ed
8d67  39e5
9270  ffc7
4d5b  394b
c316  59c4
8c1e  3869
11df  8d86
9ac8  eb65
7a5f  6d8a
b215  fac3
4242  c3bd
7e98  ec47
6a16  6953
e7e2  7ff8
bfd8  fd2f
f7d9  a168
8b01  2c89
2c43  13b4
6685  fcc6
1c4c  71fc
d703  b84e
838e  2bb9
7d85  93c1
86b3  b53c
5bf6  f26a
edc9  9e6f
3a8f  ee09
ab9b  2021
a268  c695
d9aa  7e5c
b951  f517
1a01  6961
645f  4746
4b58  c6c7
5f77  8ccc
c6bb  78e8
3ea3  6fb1
4a5f  d483
f77c  3f38
4e44  3e49
bef3  8aff
dc17  568d
d3c9  9595
bcb1  fddb
e0df  e0aa
bf0c  d666
64e0  835e
c63c  b4e8
69aa  79e4
dd24  a85d
a036  80a6
84e2  dd3e
67d2  588b
d45c  e1be
f067  dfaa
2248  5975
c43e  a1f4
609a  a6e3
556d  db8c
6bc5  94ea
db2a  9859
a24a  8092
1f6c  eaac
3fef  6f00
a429  d12e
1f41  ea3c
4333  c14f
6a92  e6a7
7087  efe3
db64  7e76
1e82  a6d1
b04f  deef
7fac  6fcb
f05b  3c67
1ba4  78a1
9b3b  b061
e3a1  5733
1bb3  7a61
eb5f  5023
fe4a  10c5
1dbc  b9ed
acde  7e65
257f  d3bb
f064  30ef
b7bd  c442
21ad  4e7a
1c5d  962d
cb88  bb2b
ebff  522a
f49b  4ef8
794e  7384
d2f0  7a9d
f175  d359
e599  a9eb
11a1  b1d1
dac3  e785
c684  9092
aa45  d6f6
1f1a  992e
7a8a  a7e3
bed5  463f
68c0  e6d4
2367  54b6
1873  643c
9e34  aea6
4ca3  1dd4
f9d4  252a
5149  3b7d
cdb0  c5e7
3952  5e11
5989  27c7
8cbf  c46d
aa45  d6f6
653d  ed04
a7fc  cabc
1fbd  e9ed
214c  4377
f206  10cd
6725  f2b6
e066  e22a
2ecc  dc97
4f57  d4c2
9082  ee71
ecbf  5eb0
6c22  ac7b
44f0  ca8b
1da8  59a5
41ab  3147
3d3b  9b59
c65b  7ae8
2302  3fb3
89fe  8c16
8736  24f0
92bb  70f9
8242  74e5
73e5  7bba
95dd  e7a0
6109  a677
aac8  8d05
6026  ee57
ddd2  b7cd
7e81  e293
f45e  3ae2
244d  4bbb
78b5  2ab2
c87e  aa34
cb89  9e6b
39f1  7e75
3974  a836
5114  3771
424b  f84f
54ef  4e42
c4e2  2328
b15f  d4d3
6bac  5acf
4f71  4688
3553  670e
fe78  82df
9d71  97a9
9bfc  5c25
9e94  20d1
fbbf  c063
b8a9  881b
7d32  9b0f
32c8  9f45
d934  a276
d692  948e
57d1  e754
4274  264a
9df4  c555
7b7c  bccf
9706  1087
8d63  31a9
eb8b  9227
5bf3  326a
deb3  6ab1
7894  8046
421d  ca73
87e8  c83c
cf78  bd2f
2931  f35b
d395  9199
6209  96b7
c914  7966
170e  257d
7e0a  a0b3
78c4  2046
96e0  72bc
d729  98be
d4fd  699e
a5f9  1ac2
2876  377b
fa72  85ef
7de8  5b0f
820b  2c49
b78a  2b62
3ba5  7f49
9b55  7219
503b  4fcd
2258  1243
7a4f  678a
ac6c  c5bc
b527  82e2
73da  959a
65ff  6974
765e  7a8c
34c8  6e90
e141  4e59
9d58  53ad
4c05  ce53
29aa  936c
db25  9a59
7a29  a757
1caf  786d
2c90  7bd0
9b61  70ed
f242  cc5d
6771  b8b4
3022  e281
bf9d  8402
3ba7  5f49
1316  75d9
da19  2521
124b  9615
b30e  21f3
8ee8  84f5
7c40  7398
40f5  36ef
cd1c  5d27
a318  c949
e107  ebc3
a776  17f0
ccd6  b824
54fe  3f8c
6ec8  e34f
49c4  a10a
a77a  17c3
3d71  9389
8e01  6ae9
cab3  61e7
443a  475e
e5e8  2b28
8569  364c
b399  66d3
a07a  15a3
d978  3b0b
a749  f44c
9f0b  e06c
a52f  854d
1c72  553e
9e10  2de9
2045  c953
60d2  2aa7
d45f  e47d
d526  a97d
4354  f443
3969  7b60
6e0b  a8b7
77a3  524b
efda  ada4
e80d  ecb2
96ee  50ec
9bb9  7261
f08d  8f23
5023  d251
acb2  cdbe
633c  b97f
7c5f  5d4c
d471  a99c
58f5  8fd4
d015  24e9
6d1d  1b03
3347  6f96
9a69  4651
6fa8  6ac8
2de8  e60c
aa64  3136
9b21  9ca1
3939  9350
1c91  b759
1633  54ec
46ea  f29c
23ca  9a96
16da  299e
b628  1cf8
4d33  3dca
7654  788c
4548  d9c8
99f2  5f35
7ad4  a58a
41eb  1947
7925  9356
e376  b5c8
9d4f  2c00
fa6c  deaf
f27e  af1a
bf50  346b
305c  6c01
1e40  9415
3da6  6f4d
7d07  b951
59f2  f168
ab1f  c56c
8e46  37c5
1153  e9d1
647f  ed74
e88d  ef72
1c3b  7189
2453  8378
e7c6  b038
4d65  3d98
547f  8e4c
786f  6674
9b3a  a0f6
1b36  17b0
b4d4  4d38
bc04  7761
af76  f585
3990  9e11
438b  2597
2d09  fe5f
7dfa  f76a
b1e0  3dff
fa0f  8d63
89fa  f816
5980  23e7
df8a  2bc5
f19d  8bd3
5541  307e
2888  df98
a17f  81f6
3749  707c
ae22  ade1
de4f  6776
6987  b5eb
e3dc  b7ff
8815  cda0
96ea  7cb0
ec48  73f8
97c7  9f10
22d1  fc97
91d1  e731
f623  1740
b6b1  f99b
2833  d0b8
ac85  221d
6072  aa0f
4294  2643
2cd5  9bd0
e1bd  6bfa
ca46  e12a
61ad  6543
8f8f  8d6d
c49c  a9fb
74b7  69b2
7800  aabb
ded5  ab96
3be1  7275
50b6  d055
2b6c  1c07
f84e  8c34
40cc  868f
6d4b  c50f
e36b  971f
1c8f  5a2d
f76a  8694
a8d3  144c
9a89  ab21
9b73  bca5
50ee  1c81
766b  7208
3611  5dbc
413f  894a
81ef  d7eb
9280  9eb1
9fac  6fae
8f65  dad0
6b43  560f
dcb8  517e
4652  c4cb
1b23  5461
3028  e255
a997  1149
1b48  7665
a5a3  890e
c0b8  2427
7086  e2e7
d9a6  5e5e
da39  a555
9ea7  6f39
61c4  a14a
eab6  6daa
eead  6fd3
e7b5  2a9c
6fb0  1553
8d0c  3de9
c984  9926
9025  afa9
c32f  b9f3
43a3  c197
4263  c4bf
4e8b  4a9f
8fc2  8d2c
bba8  ce6b
c302  b687
2716  177f
9b7b  9c65
d63e  9600
159a  831d
d40e  a84d
380d  be8e
67c0  b694
2247  5a56
1d73  99e9
7a05  ab53
bb9c  1a27
1ab2  de65
9114  8179
5340  fbbd
7e56  609f
f997  1b13
367d  bcc0
d9ba  c754
16f2  966c
1323  5131
5da0  f3fb
4c5c  cd98
cccd  b9f4
cf95  a322
1bb1  9a61
c79a  9f62
f55c  deab
f619  f2eb
da35  af56
39ef  6216
bbf3  c63f
28ed  4f4b
8342  71e0
add0  454c
2a27  de5f
8386  15dd
fa44  3e68
419d  8143
42e9  f79d
49a3  c1eb
a11b  3541
f390  2937
5655  9ae2
3aec  6355
cd65  f52a
1e96  a6d9
5c77  13bc
eb96  b013
a2db  2cdd
fc4a  cef6
9ea6  67bd
6071  aacf
9253  5035
7042  2f8f
ec76  b7f4
9933  b3a0
2895  5ee2
3d8c  bb5d
456b  3ab8
6200  94b7
4d37  f9ca
37b5  b55c
82ce  23d6
74a7  6192
6600  945b
a093  8871
166d  7820
6b17  5a53
1100  4e35
72d4  924a
93e2  5e15
bb3d  146a
80e3  d435
ead0  addf
cb2c  b827
4369  f87f
cd98  b127
8fdc  8aac
8624  20bd
f7bf  c84c
ff60  d4f8
8d63  31a9
76b9  705b
369b  b2cc
4a82  dde3
5aaf  d781
1515  bd1d
c81a  2cfc
5101  4e75
b331  295f
8677  5dfe
2de1  f159
57d6  36b8
3bcb  9205
cacf  e9aa
693e  9d04
a26b  f895
508e  4f81
a812  867e
8ca3  c6ae
dcaf  5a0d
e39a  9d33
9ac4  aa26
f335  2b5a
8f5a  394d
78bd  6a72
594d  c38c
79ed  5b04
27b0  12c4
366b  9f0c
be9e  48df
7767  5fb4
facd  8b2a
9802  5bd0
3837  ef90
20db  80c7
744d  6344
22f4  7686
8729  2e5e
1756  f33d
89c8  1120
2c7f  337b
a5ca  4d00
f3d8  f11f
eaaf  6723
1075  1b51
da77  ec56
c493  a91b
d88c  6a90
1697  b61d
b6ae  fac2
2da0  846e
5672  cf0e
6bbd  5803
30c8  ef05
ca57  6113
d8d4  809b
624f  577a
4c80  2ce8
a363  17e2
b718  c8f8
2f03  d008
c186  e933
b5bd  d182
6e39  ae9f
c7d5  9a34
3451  453c
c7bc  54db
8020  46a1
9220  9dc2
df5f  d30f
a506  40e1
2c2d  3ccf
f741  4092
8ac7  8326
e760  a4b8
1d76  9965
1a09  4e21
9674  92e0
1b7e  7b03
eb06  b0a3
8383  1131
5c29  7757
de36  e7bb
40f1  f4af
30ef  5723
431c  c5b7
e97c  bea8
192d  51ac
b697  1850
13b9  fe11
1434  6110
6ddc  b18f
fe6b  3fdf
d1d7  ebc6
375f  931d
4b0c  1a07
43b9  f677
5006  8051
7be0  7c6f
91c5  a566
f1b0  f98b
3adc  eb55
3005  af89
aa1e  3d5e
ef5c  6c6b
3dbe  4669
1786  791d
8956  c579
1146  d750
4e6e  384a
f2ed  cc3a
6429  ae5b
2626  994d
e73f  50f6
4727  1230
22cd  ba86
d304  fe4a
2c72  3eb8
ce20  abc7
29a4  f304
7a76  edcf
2a34  aa06
7c6e  7374
1b2c  5421
280c  dcb8
7b8c  bfc7
beda  46df
7cb9  7ebb
fb09  2c67
9c0a  70e5
1c50  f1de
5f99  4a88
ba41  19ab
a322  1bec
ba0b  4527
1d91  352d
21f0  42d1
95fa  45b2
d3fa  7894
e670  9398
add7  8db0
d5db  a18c
4bd6  186f
fed1  421f
3be8  5f05
87d4  2bee
b79c  16fb
54f5  3fcc
4bd3  f42f
7ff1  d264
c73b  78db
feac  d2f7
7bdb  928f
371a  795e
5bdc  3f5d
ac74  7365
4ff5  4ad6
3105  a1c9
ce34  a7fa
6531  a958
b6b5  fed2
d8a6  7b0e
7ace  2b83
6337  bdbf
c29a  9633
6007  e857
94bf  6c1d
95a7  23fd
396f  683b
f4ff  d7d8
fe83  d233
f4ad  d1d2
c704  9fa2
582f  6612
9ee8  2b4d
782a  a6b2
ce84  aed3
f272  ff0d
85f1  3adc
e9e7  53fa
a1b7  4be1
2dde  fec7
ee96  e037
36cf  9f80
21f0  42d1
cd8e  9b21
84aa  fa1d
531a  f7b1
403c  888f
b59f  8192
ea06  eda3
5c51  3ed6
5732  cf4e
9750  52ec
c834  aad4
b86b  d834
b640  8f9e
8398  1d9d
c431  b5ca
9e87  ecd9
c91a  79a4
fe9b  40ff
71e1  4eb9
8fb3  d4ee
5c6f  c77c
114b  b135
46e4  f24c
99a6  5319
2801  d0b4
5f07  aa62
7d02  9b07
9c10  a2be
c9b9  5663
4559  34cb
10e8  e4a5
8635  55c1
1afc  e9e5
2ece  a946
fd7c  3eea
2809  fe78
bfb2  31e7
5627  5462
e04f  62ef
5811  d2b2
50ea  10e7
131d  71f9
2f6d  4f5b
8723  681e
74f1  d7bc
3e4a  c7c1
b1fe  19d3
7337  bbba
7616  5650
504b  3c5d
435b  f547
5ce4  ce42
2c24  9dce
83c5  2366
ab4e  f936
f3aa  f733
2dc6  ac80
a3ce  25e6
a728  34be
d352  1e9f
273a  30b6
9287  bcd9
7710  7fbb
49df  1a0a
30cd  b323
6be8  b308
3086  e079
625f  5643
ef6f  6668
1b89  2681
1dac  59e5
c5de  29e6
5cb5  9932
c628  bcfb
2d8a  a3cd
30d2  ec75
b166  4ac3
8864  8ab0
2762  1fc4
ce96  e637
826f  c0a4
2199  8f43
7951  5ee4
98d8  bb1c
bba8  ce6b
3039  af55
822d  1a19
a534  49ce
58c5  2c64
eb17  5fa3
a383  15b5
66fc  b408
c29d  b8d7
99c2  bb35
7bcc  5cc7
dd5c  b15d
6f8b  a6cb
9c08  9b1e
b9af  c926
9c95  90dd
4742  16b4
2b6c  1c07
d3ed  5f46
96b6  cc0f
ae15  3fe9
e723  e24b
e668  bf28
e27d  bffa
2800  3eb4
50a9  3f85
f360  f1c8
db8f  5881
57b8  c8bb
df6b  242c
4441  3888
f9d4  252a
a77b  2b2c
a435  1ead
57cc  1cbe
1b9b  2a89
d851  e2bc
bb53  c837
758a  a5c2
eba3  5f37
cac1  ad3f
e5cf  6eeb
a64c  f40c
3c6a  7e9e
7a9c  ebc7
ea83  e337
32b7  b459
d6a9  785e
7702  9a7b
7f13  620b
d239  96b5
3aff  6826
31c5  a366
dac3  e785
2c15  125a
48e8  8678
e70f  b0f2
3140  21e5
fb77  3f2a
afb0  1990
cc7b  99d8
ada4  39ae
1cc6  c1f0
f79f  189e
3252  50b5
66da  78c6
b51b  34fb
a4b7  8fad
c5dc  6dab
26b2  cf88
ae4e  3aa6
29b2  1f53
1852  84be
6a3d  ed0a
f989  2767
b2c0  233f
e20b  90f7
5133  deb9
4888  4a98
f425  51e1
7820  afbb
b455  3850
273b  f074
9214  9779
c663  9178
bdd4  15aa
5c96  1dde
a9f6  c426
681f  4c76
1a26  ad69
efdd  eca4
7b4e  7f8a
1bcd  1342
6812  687b
529d  1c49
5e66  d09d
42e8  f7bd
e706  d09b
b44d  d1f4
2ed8  df47
9a16  e329
9b28  be50
bdbb  f91b
ea3e  ab6a
a913  c582
d8a8  6a7e
f449  1cab
4f9f  f3a1
1653  b66c
4a2b  4107
b938  1528
9364  74a6
e0c9  a06f
cac4  a9aa
bc0e  7e61
69c4  9184
73a6  5797
c747  68b8
90a2  6e71
2e18  6d71
dde8  5d09
e3fe  933a
aa2e  45cd
59b1  3e52
bdb0  31fb
ba29  4d27
1da4  5aa5
1d16  aa2d
d974  a876
1056  d6ed
e7b4  70fc
2a3f  ea06
b726  4cdc
506e  3c89
7270  9c9f
b116  d9c3
dcfd  599e
16dc  b42c
d6f1  945c
5295  2c9a
72ec  5cbf
7f9b  a08b
8d68  3ded
a6d4  23d0
cc83  ba6b
3289  9291
309b  ac01
1139  6115
b4b9  34ab
b71e  f642
3bc7  bf26
1404  641d
33b4  9719
6e4d  647a
a2d0  2f35
4f8f  8ca2
ad2e  460d
2127  debf
551d  e122
c6c9  9fd8
d03b  a605
1aa5  19e2
58ce  2c04
9a9a  ac19
4f94  13a1
185e  95ae
8837  44d0
5015  3f51
59ea  cee6
52db  a27f
309c  ec01
3910  7782
51bb  3bb5
2a42  4e07
926f  56a6
7f90  aaeb
4c6e  fd44
e228  bff7
f9c7  13fa
aa70  44c5
63c4  914a
fae4  3e24
9035  99a3
4095  48ef
7d67  535a
94c3  ebdc
9335  a696
6650  74cb
e2b2  7c8f
a869  f9bc
a46b  368c
bff9  3938
3ad3  ebb5
204e  c903
3bd9  9055
112e  61f9
2623  3088
57f6  f6b4
c3fe  793a
6466  6598
aad7  8126
d037  b353
75fa  8554
d4f6  294e
456d  d904
420a  26b3
cdf9  c5ef
5356  cd9a
31c1  e7b1
4e89  4b4d
545e  baa2
7027  ef53
d32c  b171
11ef  d782
37f6  7c10
5923  1700
5390  299f
b8d3  14d8
b280  2b37
be86  8e33
c41f  6e8c
8324  2e79
d71a  719d
7d05  9951
7d78  bb8f
2b9e  f28a
7b66  525f
9ac7  e526
ae6a  359b
2fc4  808b
f379  a53f
c446  e258
9eda  a536
6b6e  760a
4ff9  199b
d492  a14e
6ab2  6607
bf0f  f151
b484  4dee
bf5f  3101
c0b6  66a3
fb3c  12af
757b  ae88
525d  cc49
fe31  400d
4a91  45a7
6dd6  5de7
fd1b  371b
dc4a  71b0
982c  ac1e
8b7d  1b36
8e11  b4e1
3b65  7bf4
d35c  5949
8572  82ec
fc40  cedb
97cc  50d0
983e  af30
1c5f  966d
fbb4  f063
c69d  b0e0
806a  3ef6
34b8  e37e
6ecb  a64f
7617  5452
38a3  5f9e
8eab  34d1
6395  9193
55d4  d504
b4ca  4768
3b46  57f6
ab65  fdf6
d63b  9a0c
d5af  697d
d574  8e5b
3047  53a3
eff2  6128
da17  61c9
b74a  8494
4140  3d4f
5c77  13bc
37aa  739d
df3c  ea0c
dd21  bd59
2961  1756
fed3  d0da
4981  21e7
1b13  7461
ffc0  43a8
4686  58de
7ff9  8658
94c2  eece
55a0  ff40
1f06  8bed
f5e7  db64
c345  7d54
1586  29d5
526d  cf79
6302  b677
341d  6cbd
95d8  6bd2
6d5f  1783
c621  bd96
5de6  1ee7
48b2  15b6
864f  c6e0
1073  e861
1ae5  dfd6
bef7  d8df
15b4  3bfd
21ef  6984
f6f3  1264
df0f  db8f
3c55  727d
b8d9  75af
2a33  8307
a3b3  c3e2
c245  945a
ff88  826b
f82f  4630
72e9  70bf
bf9f  f101
e322  938b
a27f  16a6
2ac1  a3e5
b7a0  3836
bc3c  1518
21d1  d793
755d  698c
43a5  f593
f9ff  c524
f7a5  f432
2025  8cca
df45  6662
690d  b106
6950  56e3
84f0  38ee
7753  5048
1462  edde
439b  2547
db5d  b409
1a53  d9e1
3827  5bc0
d651  b65c
e2d9  9fdf
dc7a  99b0
7c66  57b8
1678  562c
5b46  c2c9
ed2d  b351
fe54  30d7
98cd  ef10
d7db  944c
35ac  6e0e
823d  1fa6
2c7d  3b7b
2fa8  df58
410e  4173
f3fa  fdda
d5f0  876c
e75a  7032
84c2  8d3c
4034  4709
e48b  e7d6
f610  f390
c87b  e834
4f6d  da04
a332  1eae
a92b  2761
8694  afbd
5f9c  8080
a3ff  c4e6
379d  b74d
6561  45c4
db1b  7401
e3ae  73d3
86c0  279c
c6b6  179b
2278  3f77
b236  375e
f059  3c27
d2cf  b286
3b98  b001
46f8  c858
2673  30c8
5f93  d0e6
76fe  9f04
e2a5  7f33
476c  c648
a51d  4945
e61b  72ab
e7ad  5f92
7ff5  8f64
3c6a  7e9e
b25b  fad7
c5c4  a1e4
2703  3078
98e1  72fc
57e5  cc92
a2aa  fdd9
e93d  bb64
8659  f4ee
751d  6102
7b1f  5203
4e99  4447
a20d  3679
ca17  65a3
9cb6  5c2d
c065  862a
346c  e37c
de7f  ee76
3656  7f7d
6c7d  bd44
e937  5ba6
a81f  155c
643c  e998
1aee  df42
9fb0  cd0d
a67c  360c
7351  5e9a
9743  40b8
1c7f  5910
4d1f  e822
13fb  9df5
2d42  665e
7ead  6f43
7142  234f
a7ef  189c
2cc0  a29c
4bcd  340a
5ffb  df9e
d972  fb0b
6eb6  66b7
d406  aa4d
cb5e  7823
970e  7ef5
7319  77b7
7bc7  5ce3
e6d0  9ce8
54e4  1082
2a02  df53
4ba2  cbe8
3d87  ecbd
e490  ab3b
8b38  c425
2de8  e60c
6cc6  e2d8
364e  7280
2cf0  7e3c
c698  94ab
64f5  85b4
1773  543c
37b5  b55c
dd77  bd05
17e8  781c
cd32  efa8
e478  e3f8
7b6f  520a
7706  30bb
4af9  1ac7
ec33  5bdb
7d07  b951
1c82  c91e
59c9  2e5f
2799  c08b
f97c  1728
6880  e8d6
799e  9b86
8276  1e9e
4d54  37f2
333e  9ff6
2680  949e
72be  7c73
c891  961b
63a7  5597
113c  a515
f30c  1bdf
88bb  d8dc
a3df  14e6
734b  774f
36ac  500e
9291  9031
22b2  12b7
27b9  c288
f7f9  f4d8
875c  363c
f60a  7dc9
24c7  de4b
7105  abb3
23cc  3347
7011  4251
f4b7  b9e1
9e12  6dcd
c7a3  741b
a8a0  f84e
c445  f15a
41a9  3997
a4b4  1a45
1c86  ca2d
e663  b778
8789  2b5e
d4d4  ad90
6b45  745a
2742  1fb4
a982  1971
12d3  58fd
edf3  6338
3949  7350
f28a  2233
90f4  c523
a2b4  c841
d1aa  2d39
f3f5  fbda
ffbe  da32
db85  7cc1
66fc  b408
eac3  eb3f
d523  ed0e
82f4  f0e6
ab22  1dac
386a  20de
3991  9b71
4130  457f
c1f8  681f
ca73  69e7
856d  d9e0
ae2e  d479
a5fc  49c2
29af  3304
1347  cfb2
ad3d  3d51
8bc9  2255
e7a0  7f3b
5159  3947
2836  d07b
f0f0  3cff
74cd  6b46
966b  922c
225c  104a
cbdd  b8aa
1f29  64ae
ed47  5b2a
c84f  6434
43e9  f54f
1bf5  fbd6
3c66  5b4e
5b1c  c205
3c4f  7370
9609  70e0
8a7d  8c66
dc9c  b19e
f255  fc33
642b  ad7b
8bf3  c815
fb8e  2f23
208f  e589
f97d  1364
6603  9a0b
952e  2ed5
e92c  b72b
6166  649a
375d  b77d
ad41  314c
2812  4278
8431  5969
50a8  df85
f55c  deab
b924  2963
9f4c  62ee
b17a  4a5a
3191  abb1
245f  4c7f
e884  a272
2612  747e
4473  8998
9cca  90b0
a0ad  da89
